canonical_l3_id,label_name,development_role,train_oof_fold,image_count,plot_count
0,Urban,train,0,3,1
0,Urban,validation,,3,1
1,Broadleaved Mixed and Yew Woodland,train,0,57,21
1,Broadleaved Mixed and Yew Woodland,train,1,60,22
1,Broadleaved Mixed and Yew Woodland,train,2,63,21
1,Broadleaved Mixed and Yew Woodland,train,3,49,21
1,Broadleaved Mixed and Yew Woodland,validation,,54,21
2,Coniferous Woodland,train,0,49,19
2,Coniferous Woodland,train,1,38,18
2,Coniferous Woodland,train,2,48,19
2,Coniferous Woodland,train,3,47,19
2,Coniferous Woodland,validation,,42,19
4,Arable and Horticulture,train,0,177,70
4,Arable and Horticulture,train,1,167,71
4,Arable and Horticulture,train,2,160,71
4,Arable and Horticulture,train,3,159,70
4,Arable and Horticulture,validation,,158,71
5,Improved Grassland,train,0,146,58
5,Improved Grassland,train,1,134,57
5,Improved Grassland,train,2,145,57
5,Improved Grassland,train,3,152,58
5,Improved Grassland,validation,,149,57
6,Neutral Grassland,train,0,113,42
6,Neutral Grassland,train,1,111,42
6,Neutral Grassland,train,2,118,42
6,Neutral Grassland,train,3,125,42
6,Neutral Grassland,validation,,114,42
7,Calcareous Grassland,train,0,3,2
7,Calcareous Grassland,train,1,5,3
7,Calcareous Grassland,train,2,8,3
7,Calcareous Grassland,train,3,5,2
7,Calcareous Grassland,validation,,6,2
8,Acid Grassland,train,0,94,33
8,Acid Grassland,train,1,91,33
8,Acid Grassland,train,2,90,32
8,Acid Grassland,train,3,88,33
8,Acid Grassland,validation,,80,32
9,Bracken,train,0,13,5
9,Bracken,train,1,13,5
9,Bracken,train,2,18,6
9,Bracken,train,3,17,6
9,Bracken,validation,,12,5
10,Dwarf Shrub Heath,train,0,70,26
10,Dwarf Shrub Heath,train,1,73,26
10,Dwarf Shrub Heath,train,2,65,25
10,Dwarf Shrub Heath,train,3,62,25
10,Dwarf Shrub Heath,validation,,71,25
11,"Fen, Marsh, Swamp",train,0,23,9
11,"Fen, Marsh, Swamp",train,1,22,9
11,"Fen, Marsh, Swamp",train,2,27,10
11,"Fen, Marsh, Swamp",train,3,27,9
11,"Fen, Marsh, Swamp",validation,,22,9
12,Bog,train,0,101,36
12,Bog,train,1,91,36
12,Bog,train,2,93,35
12,Bog,train,3,104,36
12,Bog,validation,,95,36
13,Littoral Rock,train,2,4,1
14,Littoral Sediment,train,0,4,1
14,Littoral Sediment,train,1,4,1
14,Littoral Sediment,train,3,6,1
14,Littoral Sediment,validation,,4,1
15,Montane,train,2,4,1
15,Montane,validation,,3,1
17,Inland Rock,train,0,6,1
17,Inland Rock,train,1,4,1
17,Inland Rock,train,3,4,1
17,Inland Rock,validation,,4,1
18,Supra-littoral Rock,train,2,3,1
18,Supra-littoral Rock,validation,,3,1
19,Supra-littoral Sediment,train,0,3,1
19,Supra-littoral Sediment,train,1,2,1
19,Supra-littoral Sediment,train,2,3,1
19,Supra-littoral Sediment,train,3,7,2
19,Supra-littoral Sediment,validation,,2,1
